period,"Monthly – Colombia – Commodity Net Export Price Index, Individual Commodities Weighted by Ratio of Net Exports to Total Commodity Trade – Recent, monthly, rolling weights (IMF/PCTOT/M.CO.xm.R_RW_IX)"
2014-03,105.618553161621
2014-04,105.520957946777
2014-05,105.713005065918
2014-06,106.60489654541
2014-07,105.326026916504
2014-08,103.369483947754
2014-09,100.986892700195
2014-10,96.1715469360352
2014-11,90.6268692016602
2014-12,81.3088760375977
2015-01,73.5212631225586
2015-02,79.0234527587891
2015-03,77.198112487793
2015-04,79.1914443969727
2015-05,82.662353515625
2015-06,81.7318954467773
2015-07,77.8631134033203
2015-08,72.8511352539063
2015-09,72.9136810302734
2015-10,73.1085968017578
2015-11,70.3453521728516
2015-12,65.8360061645508
2016-01,61.2042083740234
2016-02,62.3199234008789
2016-03,67.4538955688477
2016-04,69.5685882568359
2016-05,72.6869430541992
2016-06,74.3317337036133
2016-07,74.0924987792969
2016-08,75.8985977172852
2016-09,77.0418167114258
2016-10,82.1544952392578
2016-11,80.5990295410156
2016-12,82.9636459350586
2017-01,83.3674163818359
2017-02,83.0435562133789
2017-03,80.9402542114258
2017-04,82.3124542236328
2017-05,79.2488861083984
2017-06,77.5346221923828
2017-07,78.8721618652344
2017-08,81.8380966186523
2017-09,83.7918701171875
2017-10,84.5234680175781
2017-11,87.0920639038086
2017-12,87.6742858886719
2018-01,90.8152694702148
2018-02,89.1445541381836
2018-03,88.6122894287109
2018-04,89.8822784423828
2018-05,92.9419784545898
2018-06,93.6536178588867
2018-07,94.2334747314453
2018-08,92.9631118774414
2018-09,94.7096862792969
2018-10,95.0131301879883
2018-11,87.2178115844727
2018-12,82.1550445556641
2019-01,83.5673980712891
2019-02,85.5701599121094
2019-03,86.5461730957031
2019-04,87.5411834716797
2019-05,86.4015655517578
2019-06,81.3766479492188
2019-07,82.8033676147461
2019-08,80.14794921875
2019-09,81.3856582641602
2019-10,80.2890396118164
2019-11,82.3131256103516
2019-12,84.2168579101563
2020-01,83.4935760498047
2020-02,79.2916412353516
2020-03,65.8154907226563
2020-04,58.0363731384277
2020-05,63.472225189209
2020-06,69.6154098510742
2020-07,70.906608581543
2020-08,72.4098281860352
2020-09,70.2852020263672
2020-10,70.3594589233398
2020-11,72.3949127197266
2020-12,78.3409729003906
2021-01,81.8961944580078
